112.75098,-8.1277
112.75069,-8.12764
112.75044,-8.1276
112.7503,-8.12758
112.75018,-8.12756
112.75009,-8.12753
112.75001,-8.12751
112.74991,-8.12747
112.74973,-8.12739
112.74953,-8.12732
112.74948,-8.12754
112.74944,-8.12772
112.74942,-8.12778
112.74938,-8.12798
112.74937,-8.12803
112.74934,-8.12816
112.74931,-8.12832
112.7493,-8.12838
112.74928,-8.12848
112.74927,-8.12865
112.74926,-8.12874
112.74926,-8.12879
112.74924,-8.12897
112.74922,-8.12916
112.7492,-8.12928
112.74917,-8.12945
112.74917,-8.12946
112.74915,-8.1296
112.74912,-8.12978
112.74912,-8.12981
112.74909,-8.12996
112.74909,-8.12999
112.74907,-8.13016
112.74904,-8.13036
112.74901,-8.13052
112.749,-8.13056
112.74897,-8.13073
112.74892,-8.13094
112.74886,-8.13123
112.74885,-8.13128
112.74882,-8.13141
112.74881,-8.13146
112.7488,-8.13148
112.74879,-8.1315
112.74878,-8.13151
112.74876,-8.13152
112.74873,-8.13153
112.74868,-8.13154
112.74856,-8.13155
112.7484,-8.13157
112.74817,-8.1316
112.74804,-8.13161
112.74803,-8.13161
112.74795,-8.13163
112.74786,-8.13164
112.74782,-8.13164
112.74765,-8.13166
112.74751,-8.13168
112.7475,-8.13168
112.74739,-8.13169
112.74727,-8.1317
112.74706,-8.13172
112.74694,-8.13173
112.74681,-8.13173
112.74678,-8.13173
112.74663,-8.13173
112.7466,-8.13172
112.74646,-8.13171
112.74641,-8.13171
112.74637,-8.13172
112.74633,-8.13173
112.74629,-8.13174
112.74615,-8.13181
112.74606,-8.13183
112.746,-8.13184
112.74597,-8.13184
112.74587,-8.13184
112.74577,-8.13183
112.74565,-8.13182
112.74561,-8.13182
112.74556,-8.13182
112.74549,-8.13184
112.74541,-8.13187
112.74532,-8.1319
112.74525,-8.13192
112.74522,-8.13194
112.74519,-8.13196
112.74517,-8.13198
112.74514,-8.13202
112.74512,-8.13211
112.74509,-8.13222
112.74504,-8.13237
112.74501,-8.13245
112.74501,-8.13246
112.74495,-8.13263
112.7448,-8.13294
112.74471,-8.13314
112.74469,-8.13318
112.7446,-8.13339
112.74454,-8.13354
112.74443,-8.1338
112.74435,-8.13398
112.7442,-8.13438
112.74391,-8.13424
112.74377,-8.13418
112.74368,-8.13414
112.74352,-8.13408
112.7434,-8.13403
112.7433,-8.13399
112.74307,-8.13389
112.74257,-8.13373
112.74219,-8.1336
112.74209,-8.13358
112.74192,-8.13353
112.74191,-8.13353
112.74186,-8.13352
112.74182,-8.13351
112.74175,-8.13351
112.74169,-8.13351
